timestamp,temperature,pH,DO
2024-01-01 00:00:00,24.4,8.05,6.67
2024-01-01 00:01:00,23.89,7.11,6.11
2024-01-01 00:02:00,24.52,7.58,6.87
2024-01-01 00:03:00,25.22,7.97,6.63
2024-01-01 00:04:00,23.81,7.68,6.33
2024-01-01 00:05:00,23.81,7.55,6.14
2024-01-01 00:06:00,25.26,7.21,6.41
2024-01-01 00:07:00,24.61,7.09,6.09
2024-01-01 00:08:00,23.62,7.73,6.53
2024-01-01 00:09:00,24.43,7.95,6.54
2024-01-01 00:10:00,23.63,7.37,6.63
2024-01-01 00:11:00,23.63,7.16,7.38
2024-01-01 00:12:00,24.19,7.0,6.43
2024-01-01 00:13:00,22.47,7.21,7.0
2024-01-01 00:14:00,22.62,7.47,6.61
2024-01-01 00:15:00,23.55,7.98,6.38
2024-01-01 00:16:00,23.19,7.7,6.44
2024-01-01 00:17:00,24.25,7.59,6.47
2024-01-01 00:18:00,23.27,7.38,6.64
2024-01-01 00:19:00,22.87,7.33,6.02
2024-01-01 00:20:00,25.17,7.92,5.77
2024-01-01 00:21:00,23.82,7.56,6.83
2024-01-01 00:22:00,24.05,7.0,6.95
2024-01-01 00:23:00,22.86,7.3,6.87
2024-01-01 00:24:00,23.56,7.24,6.58
2024-01-01 00:25:00,24.08,7.34,6.88
2024-01-01 00:26:00,23.07,7.67,6.86
2024-01-01 00:27:00,24.3,7.47,6.89
2024-01-01 00:28:00,23.51,7.48,6.07
2024-01-01 00:29:00,23.76,7.89,5.95
2024-01-01 00:30:00,23.51,7.29,6.31
2024-01-01 00:31:00,25.48,8.06,6.49
2024-01-01 00:32:00,23.98,7.3,6.38
2024-01-01 00:33:00,23.15,7.53,5.56
2024-01-01 00:34:00,24.65,7.42,7.36
2024-01-01 00:35:00,23.02,7.54,6.36
2024-01-01 00:36:00,24.16,7.63,6.59
2024-01-01 00:37:00,22.42,7.63,7.12
2024-01-01 00:38:00,22.93,7.27,5.33
2024-01-01 00:39:00,24.15,7.16,6.24
2024-01-01 00:40:00,24.58,8.25,6.31
2024-01-01 00:41:00,24.13,7.35,6.33
2024-01-01 00:42:00,23.9,7.71,6.41
2024-01-01 00:43:00,23.75,7.02,7.22
2024-01-01 00:44:00,22.81,7.42,6.84
2024-01-01 00:45:00,23.42,7.46,6.98
